# SynAptIp Technologies — Nyquist Transform Export
# Source: rc_dcbias_example.csv
# Label: rc_dcbias_example
# Valid points: 300

freq_hz,z_ohm,theta_deg,z_real,z_imag,minus_z_imag
17100,973.035,-5.80411,968.047,-98.4008,98.4008
18100,972.514,-6.15215,966.913,-104.223,104.223
19100,971.878,-6.48463,965.66,-109.761,109.761
20100,971.171,-6.81926,964.301,-115.315,115.315
21100,970.299,-7.16114,962.73,-120.958,120.958
22100,969.575,-7.48653,961.31,-126.329,126.329
23100,968.72,-7.82889,959.691,-131.954,131.954
24100,967.932,-8.15963,958.133,-137.38,137.38
25100,967.201,-8.49553,956.588,-142.887,142.887
26100,966.327,-8.8192,954.902,-148.154,148.154
27100,965.199,-9.14878,952.921,-153.465,153.465
28100,964.42,-9.48539,951.234,-158.933,158.933
29100,963.373,-9.81486,949.273,-164.221,164.221
30100,962.408,-10.1373,947.384,-169.391,169.391
31100,961.342,-10.4727,945.328,-174.74,174.74
32100,960.259,-10.8001,943.25,-179.936,179.936
33100,959.206,-11.1227,941.189,-185.041,185.041
34100,958.086,-11.4484,939.024,-190.166,190.166
35100,956.908,-11.7744,936.773,-195.265,195.265
36100,955.655,-12.0988,934.428,-200.303,200.303
37100,954.344,-12.4231,931.999,-205.307,205.307
38100,953.422,-12.7369,929.961,-210.205,210.205
39100,952.042,-13.0663,927.393,-215.236,215.236
40100,950.601,-13.3945,924.743,-220.211,220.211
41100,949.372,-13.7085,922.328,-224.984,224.984
42100,948.035,-14.0318,919.747,-229.861,229.861
43100,946.658,-14.3439,917.147,-234.526,234.526
44100,945.273,-14.6754,914.435,-239.478,239.478
45100,943.845,-14.9842,911.752,-244.034,244.034
46100,942.478,-15.3026,909.063,-248.736,248.736
47100,940.918,-15.6133,906.198,-253.242,253.242
48100,939.514,-15.9269,903.448,-257.813,257.813
49100,937.983,-16.2495,900.513,-262.467,262.467
50100,936.471,-16.5459,897.694,-266.691,266.691
51100,934.745,-16.8596,894.568,-271.102,271.102
52100,933.061,-17.1683,891.486,-275.42,275.42
53100,931.564,-17.4754,888.569,-279.745,279.745
54100,929.946,-17.7835,885.511,-284.025,284.025
55100,928.411,-18.0804,882.568,-288.134,288.134
56100,926.472,-18.4023,879.095,-292.475,292.475
57100,924.902,-18.7029,876.062,-296.58,296.58
58100,923.13,-18.9942,872.867,-300.453,300.453
59100,921.516,-19.3016,869.719,-304.599,304.599
60100,919.571,-19.5958,866.311,-308.408,308.408
61100,917.807,-19.8989,863.009,-312.386,312.386
62100,916.574,-20.1915,860.245,-316.364,316.364
63100,914.399,-20.494,856.526,-320.14,320.14
64100,912.605,-20.7772,853.255,-323.733,323.733
65100,910.702,-21.0841,849.734,-327.614,327.614
66100,908.954,-21.3778,846.415,-331.328,331.328
67100,907.005,-21.6652,842.931,-334.85,334.85
68100,905.11,-21.9536,839.478,-338.38,338.38
69100,903.123,-22.2477,835.891,-341.933,341.933
70100,901.271,-22.5319,832.474,-345.365,345.365
71100,899.381,-22.8159,829.009,-348.754,348.754
72100,897.425,-23.103,825.452,-352.136,352.136
73100,895.37,-23.3862,821.816,-355.396,355.396
74100,893.363,-23.6796,818.147,-358.794,358.794
75100,891.586,-23.9522,814.807,-361.961,361.961
76100,889.623,-24.2315,811.242,-365.123,365.123
77100,887.423,-24.5144,807.428,-368.211,368.211
78100,885.454,-24.7939,803.835,-371.32,371.32
79100,883.549,-25.0747,800.28,-374.448,374.448
80100,881.355,-25.341,796.548,-377.224,377.224
81100,879.312,-25.6112,792.918,-380.093,380.093
82100,877.232,-25.8886,789.197,-383.019,383.019
83100,875.036,-26.1602,785.402,-385.788,385.788
84100,873.086,-26.4326,781.812,-388.65,388.65
85100,870.967,-26.7007,778.092,-391.352,391.352
86100,868.874,-26.9595,774.451,-393.913,393.913
87100,866.74,-27.2305,770.682,-396.595,396.595
88100,864.683,-27.497,767.004,-399.226,399.226
89100,862.582,-27.7533,763.351,-401.675,401.675
90100,860.359,-28.0223,759.495,-404.21,404.21
91100,858.156,-28.2815,755.718,-406.598,406.598
92100,856.029,-28.5382,752.02,-408.963,408.963
93100,853.808,-28.7957,748.229,-411.269,411.269
94100,851.711,-29.061,744.483,-413.711,413.711
95100,849.51,-29.311,740.752,-415.878,415.878
96100,847.384,-29.5603,737.086,-418.048,418.048
97100,845.114,-29.8141,733.257,-420.18,420.18
98100,842.98,-30.0703,729.524,-422.385,422.385
99100,840.687,-30.317,725.72,-424.365,424.365
100,857.588,-1.0287,857.45,-15.3965,15.3965
1100,978.616,-0.388929,978.593,-6.64288,6.64288
2100,978.386,-0.713073,978.31,-12.1762,12.1762
3100,978.397,-1.06507,978.228,-18.1864,18.1864
4100,978.124,-1.40364,977.83,-23.9598,23.9598
5100,978.007,-1.74772,977.552,-29.828,29.828
6100,977.893,-2.08909,977.243,-35.6475,35.6475
7100,977.558,-2.42355,976.684,-41.3373,41.3373
8100,977.33,-2.76585,976.191,-47.1605,47.1605
9100,976.962,-3.10186,975.531,-52.8646,52.8646
10100,976.654,-3.45108,974.883,-58.791,58.791
11100,976.131,-3.7919,973.994,-64.5543,64.5543
12100,975.739,-4.12654,973.209,-70.2137,70.2137
13100,975.306,-4.46553,972.345,-75.9367,75.9367
14100,974.673,-4.81202,971.238,-81.7623,81.7623
15100,974.227,-5.13953,970.31,-87.2727,87.2727
16100,973.645,-5.47622,969.201,-92.9175,92.9175
17100,973.094,-5.8167,968.084,-98.6194,98.6194
18100,972.541,-6.14831,966.947,-104.162,104.162
19100,971.859,-6.4849,965.641,-109.763,109.763
20100,971.072,-6.82751,964.186,-115.442,115.442
21100,970.324,-7.1551,962.768,-120.859,120.859
22100,969.663,-7.49666,961.375,-126.51,126.51
23100,968.666,-7.82864,959.638,-131.943,131.943
24100,967.851,-8.16057,958.051,-137.384,137.384
25100,967.143,-8.49072,956.543,-142.798,142.798
26100,966.226,-8.82497,954.787,-148.235,148.235
27100,965.29,-9.15105,953.004,-153.518,153.518
28100,964.348,-9.48226,951.172,-158.869,158.869
29100,963.41,-9.81375,949.312,-164.209,164.209
30100,962.407,-10.1384,947.379,-169.409,169.409
31100,961.403,-10.4655,945.41,-174.633,174.633
32100,960.317,-10.7985,943.312,-179.921,179.921
33100,959.152,-11.1243,941.13,-185.057,185.057
34100,958.049,-11.4451,938.998,-190.105,190.105
35100,956.92,-11.7756,936.781,-195.287,195.287
36100,955.688,-12.1001,934.455,-200.332,200.332
37100,954.514,-12.4291,932.143,-205.441,205.441
38100,953.105,-12.7501,929.603,-210.349,210.349
39100,951.954,-13.0634,927.318,-215.169,215.169
40100,950.624,-13.3896,924.784,-220.137,220.137
41100,949.328,-13.718,922.248,-225.127,225.127
42100,948.025,-14.0326,919.734,-229.871,229.871
43100,946.577,-14.3472,917.055,-234.559,234.559
44100,945.318,-14.6669,914.514,-239.354,239.354
45100,943.791,-14.9776,911.728,-243.915,243.915
46100,942.41,-15.2981,909.017,-248.646,248.646
47100,941,-15.619,906.252,-253.354,253.354
48100,939.41,-15.926,903.353,-257.77,257.77
49100,937.803,-16.2374,900.395,-262.226,262.226
50100,936.462,-16.5457,897.686,-266.686,266.686
51100,934.882,-16.8529,894.731,-271.037,271.037
52100,933.174,-17.1644,891.612,-275.393,275.393
53100,931.526,-17.4658,888.579,-279.585,279.585
54100,930.021,-17.7836,885.582,-284.05,284.05
55100,928.514,-18.0833,882.651,-288.21,288.21
56100,926.694,-18.4037,879.299,-292.567,292.567
57100,925.068,-18.7007,876.23,-296.6,296.6
58100,923.06,-19,872.77,-300.519,300.519
59100,921.38,-19.3042,869.577,-304.593,304.593
60100,919.547,-19.5871,866.336,-308.268,308.268
61100,917.983,-19.9049,863.142,-312.536,312.536
62100,916.161,-20.1967,859.829,-316.299,316.299
63100,914.338,-20.4935,856.471,-320.111,320.111
64100,912.488,-20.7865,853.094,-323.83,323.83
65100,910.584,-21.0797,849.649,-327.506,327.506
66100,908.795,-21.3721,846.3,-331.186,331.186
67100,906.841,-21.666,842.774,-334.801,334.801
68100,904.969,-21.955,839.339,-338.348,338.348
69100,903.138,-22.2508,835.886,-341.984,341.984
70100,901.251,-22.5348,832.438,-345.399,345.399
71100,899.172,-22.817,828.81,-348.689,348.689
72100,897.393,-23.1051,825.41,-352.154,352.154
73100,895.366,-23.3865,821.81,-355.399,355.399
74100,893.345,-23.675,818.159,-358.721,358.721
75100,891.698,-23.942,814.973,-361.861,361.861
76100,889.479,-24.2321,811.107,-365.072,365.072
77100,887.336,-24.5045,807.412,-368.036,368.036
78100,885.429,-24.7852,803.868,-371.187,371.187
79100,883.347,-25.0661,800.153,-374.242,374.242
80100,881.363,-25.3393,796.566,-377.204,377.204
81100,879.28,-25.6086,792.906,-380.043,380.043
82100,877.278,-25.8882,789.241,-383.034,383.034
83100,875.051,-26.1559,785.444,-385.736,385.736
84100,873.152,-26.4285,781.899,-388.623,388.623
85100,870.99,-26.6952,778.15,-391.287,391.287
86100,868.912,-26.9589,774.489,-393.922,393.922
87100,866.663,-27.2323,770.601,-396.584,396.584
88100,864.607,-27.4918,766.973,-399.121,399.121
89100,862.53,-27.7519,763.315,-401.632,401.632
90100,860.443,-28.0211,759.577,-404.233,404.233
91100,858.168,-28.2736,755.785,-406.499,406.499
92100,856.074,-28.5335,752.094,-408.923,408.923
93100,853.869,-28.7934,748.298,-411.268,411.268
94100,851.688,-29.0522,744.527,-413.585,413.585
95100,849.453,-29.3017,740.77,-415.729,415.729
96100,847.363,-29.5621,737.055,-418.061,418.061
97100,845.183,-29.8076,733.365,-420.131,420.131
98100,843.009,-30.0641,729.595,-422.321,422.321
99100,840.776,-30.3101,725.847,-424.323,424.323
